us,flow,size
1746361374181286,1,1024
1746361374181348,2,512
1746361374181410,3,1024
1746361374181466,1,1024
1746361374181522,2,512
1746361374181684,3,1024
1746361374181887,1,1024
1746361374181966,2,512
1746361374182035,3,1024
1746361374182100,1,1024
1746361374182166,2,512
1746361374182230,3,1024
1746361374182297,1,1024
1746361374182359,2,512
1746361374182420,3,1024
1746361374182479,2,512
1746361374182542,2,512
1746361374182595,2,512
1746361374182649,2,512
1746361374182703,2,512
1746361374182755,2,512
1746361374182807,2,512
1746361374182859,2,512
1746361374182910,2,512
1746361374182972,2,512
1746361374183083,2,512
1746361374183210,2,512
1746361374183296,2,512
1746361374183368,2,512
1746361374183433,2,512
1746361374183493,2,512
1746361374183552,2,512
1746361374183609,2,512
1746361374183666,2,512
1746361374183724,2,512
1746361374183781,2,512
1746361374183837,2,512
1746361374183892,2,512
1746361374183948,2,512
1746361374184004,2,512
1746361374184059,2,512
1746361374184114,2,512
1746361374663337,2,512
1746361374664062,3,1024
1746361374664609,1,1024
1746361374665447,2,512
1746361374665931,3,1024
1746361374666384,1,1024
1746361374666639,2,512
1746361374666811,3,1024
1746361374666968,1,1024
1746361374667110,2,512
1746361374667254,3,1024
1746361374667386,1,1024
1746361374667521,2,512
1746361374667632,3,1024
1746361374667739,1,1024
1746361374667846,2,512
1746361374667951,3,1024
1746361374668054,1,1024
1746361374668152,2,512
1746361374668249,3,1024
1746361374668353,1,1024
1746361374668520,2,512
1746361374668872,3,1024
1746361374669190,1,1024
1746361374669633,2,512
1746361374670031,3,1024
1746361374670424,1,1024
1746361374670699,2,512
1746361374670920,3,1024
1746361374671117,1,1024
1746361374671349,2,512
1746361374671733,3,1024
1746361374671950,1,1024
1746361374672111,2,512
1746361374672345,3,1024
1746361374672502,1,1024
1746361374672628,2,512
1746361374672745,3,1024
1746361374672852,1,1024
1746361374672944,2,512
1746361374673039,3,1024
1746361374673130,1,1024
1746361374673219,2,512
1746361374673321,3,1024
1746361374673433,1,1024
1746361374673569,2,512
1746361374673714,3,1024
1746361374673848,1,1024
1746361374673961,2,512
1746361374674082,3,1024
1746361374674199,1,1024
1746361374674319,2,512
1746361374674450,3,1024
1746361374674575,1,1024
1746361374674717,2,512
1746361374674961,3,1024
1746361374675234,1,1024
1746361374675577,2,512
1746361374675770,3,1024
1746361374675926,1,1024
1746361374676055,2,512
1746361374676160,3,1024
1746361374676269,1,1024
1746361374676376,2,512
1746361374676474,3,1024
1746361374676567,1,1024
1746361374676677,2,512
1746361374676777,3,1024
1746361374676980,1,1024
1746361374677292,2,512
1746361374677475,3,1024
1746361374677623,1,1024
1746361374677744,2,512
1746361374677848,3,1024
1746361374677946,1,1024
1746361374678039,2,512
1746361374678130,1,1024
1746361374678224,2,512
1746361374678328,2,512
1746361374678442,2,512
1746361374678553,2,512
1746361374678657,2,512
1746361374678797,2,512
1746361374678934,2,512
1746361374679045,2,512
1746361374679142,2,512
1746361374679237,2,512
1746361374679343,2,512
1746361374679422,2,512
1746361374679515,2,512
1746361374679606,2,512
1746361374679685,2,512
1746361374679762,2,512
1746361374679834,2,512
1746361374679916,2,512
1746361374679994,2,512
1746361374680078,2,512
1746361375009414,2,512
1746361375010033,3,1024
1746361375010298,1,1024
1746361375010510,2,512
1746361375010768,1,1024
1746361375011148,2,512
1746361375011456,3,1024
1746361375011709,2,512
1746361375011888,2,512
1746361375012047,3,1024
1746361375012175,1,1024
1746361375012319,2,512
1746361375012549,3,1024
1746361375012798,1,1024
1746361375013038,2,512
1746361375013183,3,1024
1746361375013301,1,1024
1746361375013419,2,512
1746361375013603,3,1024
1746361375013723,1,1024
1746361375013814,2,512
1746361375013900,3,1024
1746361375013983,1,1024
1746361375014061,2,512
1746361375014140,3,1024
1746361375014218,1,1024
1746361375014295,2,512
1746361375014380,3,1024
1746361375014456,1,1024
1746361375014536,2,512
1746361375014629,3,1024
1746361375014764,1,1024
1746361375015060,2,512
1746361375015390,3,1024
1746361375015770,1,1024
1746361375015968,2,512
1746361375016122,3,1024
1746361375016274,1,1024
1746361375016442,2,512
1746361375016742,3,1024
1746361375016952,1,1024
1746361375017082,2,512
1746361375017183,3,1024
1746361375017277,1,1024
1746361375017366,2,512
1746361375017530,3,1024
1746361375017766,1,1024
1746361375017893,2,512
1746361375017994,3,1024
1746361375018086,1,1024
1746361375018170,2,512
1746361375018255,3,1024
1746361375018338,1,1024
1746361375018422,2,512
1746361375018503,2,512
1746361375018584,2,512
1746361375018663,2,512
1746361375018741,2,512
1746361375018819,2,512
1746361375018896,2,512
1746361375018976,2,512
1746361375019052,2,512
1746361375019131,2,512
1746361375019207,2,512
1746361375019284,2,512
1746361375019360,2,512
1746361376487552,2,512
1746361376488441,3,1024
1746361376489158,1,1024
1746361376489611,2,512
1746361376489970,3,1024
1746361376490305,1,1024
1746361376490577,2,512
1746361376490945,3,1024
1746361376491207,1,1024
1746361376491390,2,512
1746361376491679,3,1024
1746361376491871,1,1024
1746361376492036,2,512
1746361376492184,3,1024
1746361376492309,1,1024
1746361376492446,2,512
1746361376492639,3,1024
1746361376492814,1,1024
1746361376492963,2,512
1746361376493094,3,1024
1746361376493207,1,1024
1746361376493316,2,512
1746361376493431,3,1024
1746361376493602,1,1024
1746361376493840,2,512
1746361376494074,3,1024
1746361376494287,1,1024
1746361376494486,2,512
1746361376494670,3,1024
1746361376494880,1,1024
1746361376495111,2,512
1746361376495333,3,1024
1746361376495555,1,1024
1746361376495898,2,512
1746361376496101,3,1024
1746361376496285,1,1024
1746361376496480,2,512
1746361376496674,3,1024
1746361376496855,1,1024
1746361376497053,2,512
1746361376497256,3,1024
1746361376497421,1,1024
1746361376497968,2,512
1746361376498211,3,1024
1746361376498362,1,1024
1746361376498503,2,512
1746361376498732,3,1024
1746361376498964,1,1024
1746361376499181,2,512
1746361376499780,3,1024
1746361376500159,1,1024
1746361376500421,2,512
1746361376500866,3,1024
1746361376501314,1,1024
1746361376501495,2,512
1746361376501593,3,1024
1746361376501680,1,1024
1746361376501809,2,512
1746361376501895,3,1024
1746361376502004,1,1024
1746361376502082,2,512
1746361376502175,3,1024
1746361376502320,1,1024
1746361376502592,2,512
1746361376502759,3,1024
1746361376502841,1,1024
1746361376502918,2,512
1746361376502992,3,1024
1746361376503094,1,1024
1746361376503166,2,512
1746361376503238,3,1024
1746361376503310,1,1024
1746361376503382,2,512
1746361376503454,3,1024
1746361376503528,1,1024
1746361376503600,2,512
1746361376503675,3,1024
1746361376503748,1,1024
1746361376503822,2,512
1746361376503895,3,1024
1746361376503969,1,1024
1746361376504041,2,512
1746361376504113,3,1024
1746361376504185,1,1024
1746361376504257,2,512
1746361376504329,3,1024
1746361376504399,1,1024
1746361376504471,2,512
1746361376504543,3,1024
1746361376504614,1,1024
1746361376504692,2,512
1746361376504753,3,1024
1746361376504815,1,1024
1746361376504876,2,512
1746361376504936,3,1024
1746361376505005,1,1024
1746361376505067,2,512
1746361376505128,3,1024
1746361376505190,1,1024
1746361376505250,2,512
1746361376505311,3,1024
1746361376505375,1,1024
1746361376505435,2,512
1746361376505495,3,1024
1746361376505554,1,1024
1746361376505614,2,512
1746361376505675,3,1024
1746361376505735,1,1024
1746361376505796,2,512
1746361376505855,3,1024
1746361376505915,1,1024
1746361376505975,2,512
1746361376506034,3,1024
1746361376506094,1,1024
1746361376506154,2,512
1746361376506213,3,1024
1746361376506273,1,1024
1746361376506332,2,512
1746361376506393,3,1024
1746361376506453,1,1024
1746361376506513,2,512
1746361376506573,3,1024
1746361376506631,1,1024
1746361376506709,2,512
1746361376506944,3,1024
1746361376507048,1,1024
1746361376507129,2,512
1746361376507230,3,1024
1746361376507331,1,1024
1746361376507413,2,512
1746361376507488,3,1024
1746361376507560,1,1024
1746361376507639,2,512
1746361376507742,3,1024
1746361376507884,1,1024
1746361376507954,2,512
1746361376508023,3,1024
1746361376508089,1,1024
