us,flow,size,rtt_us
1746368432210484,1,1024,0
1746368432211182,2,512,0
1746368432213551,2,512,0
1746368432214755,1,1024,0
1746368432215908,2,512,0
1746368432218318,2,512,0
1746368432219384,1,1024,0
1746368432220694,2,512,0
1746368432223111,2,512,0
1746368432224059,1,1024,0
1746368432225492,2,512,0
1746368432227867,2,512,0
1746368432228706,1,1024,0
1746368432230244,2,512,0
1746368432232608,2,512,0
1746368432233336,1,1024,0
1746368432234984,2,512,0
1746368432237356,2,512,0
1746368432237963,1,1024,0
1746368432239753,2,512,0
1746368432242127,2,512,0
1746368432242314,1,1024,0
1746368432244517,2,512,0
1746368432246511,1,1024,0
1746368432246903,2,512,0
1746368432249287,2,512,0
1746368432251181,1,1024,0
1746368432251696,2,512,0
1746368432254085,2,512,0
1746368432255824,1,1024,0
1746368432256458,2,512,0
1746368432258799,2,512,0
1746368432260056,1,1024,0
1746368432261201,2,512,0
1746368432263478,2,512,0
1746368432264714,1,1024,0
1746368432265877,2,512,0
1746368432268328,2,512,0
1746368432269368,1,1024,0
1746368432270717,2,512,0
1746368432273094,2,512,0
1746368432274025,1,1024,0
1746368432275477,2,512,0
1746368432277884,2,512,0
1746368432278692,1,1024,0
1746368432280425,2,512,0
1746368432282692,2,512,0
1746368432283357,1,1024,0
1746368432285136,2,512,0
1746368432287549,2,512,0
1746368432288021,1,1024,0
1746368432289935,2,512,0
1746368432292325,2,512,0
1746368432292505,1,1024,0
1746368432294718,2,512,0
1746368432297102,2,512,0
1746368432297103,1,1024,0
1746368432299476,2,512,0
1746368432301489,1,1024,0
1746368432301862,2,512,0
1746368432304242,2,512,0
1746368432306162,1,1024,0
1746368432306646,2,512,0
1746368432309025,2,512,0
1746368432310816,1,1024,0
1746368432311421,2,512,0
1746368432313796,2,512,0
1746368432315025,1,1024,0
1746368432316177,2,512,0
1746368432318550,2,512,0
1746368432319692,1,1024,0
1746368432320840,2,512,0
1746368432323372,2,512,0
1746368432324398,1,1024,0
1746368432325737,2,512,0
1746368432328114,2,512,0
1746368432329077,1,1024,0
1746368432330522,2,512,0
1746368432332903,2,512,0
1746368432333459,1,1024,0
1746368432335285,2,512,0
1746368432337690,2,512,0
1746368432337755,1,1024,0
1746368432340063,2,512,0
1746368432342405,2,512,0
1746368432342495,1,1024,0
1746368432344783,2,512,0
1746368432347117,2,512,0
1746368432347178,1,1024,0
1746368432349560,2,512,0
1746368432351842,1,1024,0
1746368432351993,2,512,0
1746368432354350,2,512,0
1746368432356517,1,1024,0
1746368432356694,2,512,0
1746368432359061,2,512,0
1746368432361165,1,1024,0
1746368432361451,2,512,0
1746368432363866,2,512,0
1746368432365847,1,1024,0
1746368432366230,2,512,0
1746368432368605,2,512,0
1746368432370498,1,1024,0
1746368432370955,2,512,0
1746368432373307,2,512,0
1746368432375144,1,1024,0
1746368432375671,2,512,0
1746368432378052,2,512,0
1746368432379775,1,1024,0
1746368432380427,2,512,0
1746368432382795,2,512,0
1746368432384040,1,1024,0
1746368432385195,2,512,0
1746368432387584,2,512,0
1746368432388709,1,1024,0
1746368432389955,2,512,0
1746368432392342,2,512,0
1746368432393369,1,1024,0
1746368432394797,2,512,0
1746368432397177,2,512,0
1746368432398019,1,1024,0
1746368432399539,2,512,0
1746368432401944,2,512,0
1746368432402657,1,1024,0
1746368432404319,2,512,0
1746368432406673,2,512,0
1746368432407336,1,1024,0
1746368432409017,2,512,0
1746368432411370,2,512,0
1746368432411985,1,1024,0
1746368432413730,2,512,0
1746368432416102,2,512,0
1746368432416608,1,1024,0
1746368432418480,2,512,0
1746368432420872,2,512,0
1746368432421241,1,1024,0
1746368432423226,2,512,0
1746368432425594,2,512,0
1746368432425871,1,1024,0
1746368432427953,2,512,0
1746368432430254,1,1024,0
1746368432430329,2,512,0
1746368432432707,2,512,0
1746368432434570,1,1024,0
1746368432435096,2,512,0
1746368432437466,2,512,0
1746368432439265,1,1024,0
1746368432439833,2,512,0
1746368432442212,2,512,0
1746368432444041,1,1024,0
1746368432444408,2,512,0
1746368432446771,2,512,0
1746368432448689,1,1024,0
1746368432449136,2,512,0
1746368432451497,2,512,0
1746368432453327,1,1024,0
1746368432453848,2,512,0
1746368432456213,2,512,0
1746368432457939,1,1024,0
1746368432458550,2,512,0
1746368432460933,2,512,0
1746368432462550,1,1024,0
1746368432463276,2,512,0
1746368432465708,2,512,0
1746368432467163,1,1024,0
1746368432468085,2,512,0
1746368432470449,2,512,0
1746368432471798,1,1024,0
1746368432472802,2,512,0
1746368432475169,2,512,0
1746368432476418,1,1024,0
1746368432477522,2,512,0
1746368432479816,2,512,0
1746368432481044,1,1024,0
1746368432482191,2,512,0
1746368432484614,2,512,0
1746368432485710,1,1024,0
1746368432486974,2,512,0
1746368432489332,2,512,0
1746368432490334,1,1024,0
1746368432491821,2,512,0
1746368432494176,2,512,0
1746368432495003,1,1024,0
1746368432496608,2,512,0
1746368432499000,2,512,0
1746368432499591,1,1024,0
1746368432501390,2,512,0
1746368432503786,2,512,0
1746368432503786,1,1024,0
1746368432506127,2,512,0
1746368432508429,1,1024,0
1746368432508542,2,512,0
1746368432510984,2,512,0
1746368432513085,1,1024,0
1746368432513347,2,512,0
1746368432515499,2,512,0
1746368432517727,2,512,0
1746368432517727,1,1024,0
1746368432520094,2,512,0
1746368432522356,1,1024,0
1746368432522440,2,512,0
1746368432524690,2,512,0
1746368432526974,1,1024,0
1746368432527061,2,512,0
1746368432529427,2,512,0
1746368432531644,1,1024,0
1746368432531780,2,512,0
1746368432534021,2,512,0
1746368432536309,1,1024,0
1746368432536410,2,512,0
1746368432538632,2,512,0
1746368432540933,1,1024,0
1746368432541007,2,512,0
1746368432543390,2,512,0
1746368432545574,1,1024,0
1746368432545743,2,512,0
1746368432548094,2,512,0
